calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
117960,46364531,2022-04-21 00:00:00.000000,1,200,200,2,1125
117961,52017166,2022-11-10 00:00:00.000000,1,336,336,1,1125
117962,31847853,2022-04-09 00:00:00.000000,1,190,190,2,15
117963,6833081,2022-10-24 00:00:00.000000,1,50,50,5,1125
117964,991824,2022-01-29 00:00:00.000000,1,77,77,1,1125
117965,45058659,2022-01-25 00:00:00.000000,1,95,95,2,1125
117966,6659457,2022-12-06 00:00:00.000000,1,89,89,2,1125
117967,10582792,2022-07-28 00:00:00.000000,0,220,220,10,1125
117968,6149034,2022-01-07 00:00:00.000000,0,52,52,2,1125
117969,16835869,2022-06-29 00:00:00.000000,1,69,69,3,180
117970,51602882,2022-08-27 00:00:00.000000,0,180,180,1,1125
117971,47938178,2022-10-20 00:00:00.000000,0,65,65,2,1125
117972,40561103,2022-01-13 00:00:00.000000,1,48,48,1,1125
117973,15657753,2022-09-14 00:00:00.000000,1,98,98,2,1125
117974,47405766,2022-12-23 00:00:00.000000,0,69,69,1,1125
117975,26635846,2022-05-20 00:00:00.000000,0,180,180,2,1125
117976,53949105,2022-06-05 00:00:00.000000,1,990,990,2,1125
117977,33005958,2022-03-21 00:00:00.000000,0,162,162,1,1125
117978,27930363,2022-04-01 00:00:00.000000,1,310,310,2,30
117979,15794519,2022-04-30 00:00:00.000000,1,165,165,1,1000
117980,47067958,2022-05-23 00:00:00.000000,0,40,40,5,1125
117981,50741200,2022-06-21 00:00:00.000000,0,85,85,3,15
117982,53267980,2022-05-08 00:00:00.000000,1,65,65,2,1125
117983,52046870,2022-04-10 00:00:00.000000,1,160,160,2,365
117984,42192155,2022-09-14 00:00:00.000000,1,48,48,3,1125
117985,49719653,2022-01-11 00:00:00.000000,0,60,60,7,120
117986,35994544,2022-09-29 00:00:00.000000,1,25,25,25,25
117987,9444009,2022-01-09 00:00:00.000000,1,80,80,1,1125
117988,34264095,2022-08-25 00:00:00.000000,0,40,40,2,5
117989,24061317,2022-11-26 00:00:00.000000,1,79,79,1,1125
